company_name,website,industry,size_estimate,country
Shell Netherlands,https://www.shell.nl,Energy,large (>1000 employees),NL
Eneco,https://www.eneco.nl,Energy,large (>1000 employees),NL
Vattenfall Netherlands,https://www.vattenfall.nl,Energy,large (>1000 employees),NL
